case_name,docket_number,date_filed,court,payment_found,payment_amount,outcome,url
"Comcast Cable Communications Management, LLC v. CX360, Inc. (Del. Ch. 2024)",2024-0991-LWW,2024-12-31,Court of Chancery of Delaware,1,"$1,541,000",1.0,https://www.courtlistener.com/opinion/10306171/comcast-cable-communications-management-llc-v-cx360-inc/?q=%22Patents%22&type=o&order_by=dateFiled+desc&stat_Published=on&page=14
"Hangzhou Mengku Technology Co., Ltd and Fuzhou Mengku Technology Co., Ltd v. Shanghai Zhenglang Technology Co., Ltd (T.T.A.B. 2024)",91272143,2024-12-30,Trademark Trial and Appeal Board,0,,,https://www.courtlistener.com/opinion/10814959/hangzhou-mengku-technology-co-ltd-and-fuzhou-mengku-technology-co-ltd/?q=%22Patents%22&type=o&order_by=dateFiled+desc&stat_Published=on&page=14
"Teva Branded Pharmaceutical Products R&D, Inc. v. Amneal Pharmaceuticals of New York, LLC (Fed. Cir. 2024)",24-1936,2024-12-20,Court of Appeals for the Federal Circuit,0,,1.0,https://www.courtlistener.com/opinion/10298214/teva-branded-pharmaceutical-products-rd-inc-v-amneal-pharmaceuticals-of/?q=%22Patents%22&type=o&order_by=dateFiled+desc&stat_Published=on&page=14
Teradata Corporation v. Sap Se (9th Cir. 2024),23-16065,2024-12-19,Court of Appeals for the Ninth Circuit,0,,0.0,https://www.courtlistener.com/opinion/10297140/teradata-corporation-v-sap-se/?q=%22Patents%22&type=o&order_by=dateFiled+desc&stat_Published=on&page=14
"Cloudofchange, LLC v. Ncr Corporation (Fed. Cir. 2024)",23-1111,2024-12-18,Court of Appeals for the Federal Circuit,1,$13.2million,0.0,https://www.courtlistener.com/opinion/10296262/cloudofchange-llc-v-ncr-corporation/?q=%22Patents%22&type=o&order_by=dateFiled+desc&stat_Published=on&page=14
"EPR 10, LLC v. Bary Wallace Wilson (Fla. Dist. Ct. App. 2024)",3D2023-1171,2024-12-18,District Court of Appeal of Florida,0,,1.0,https://www.courtlistener.com/opinion/10296278/epr-10-llc-v-bary-wallace-wilson/?q=%22Patents%22&type=o&order_by=dateFiled+desc&stat_Published=on&page=15
"Crown Packaging Technology, Inc. v. Belvac Production MacHinery, Inc. (Fed. Cir. 2024)",22-2299,2024-12-10,Court of Appeals for the Federal Circuit,0,,0.0,https://www.courtlistener.com/opinion/10291045/crown-packaging-technology-inc-v-belvac-production-machinery-inc/?q=%22Patents%22&type=o&order_by=dateFiled+desc&stat_Published=on&page=15
"Atlantica, L.L.C. v. Salahuddin (Ohio Ct. App. 2024)",23AP-35,2024-12-10,Ohio Court of Appeals,0,,1.0,https://www.courtlistener.com/opinion/10291253/atlantica-llc-v-salahuddin/?q=%22Patents%22&type=o&order_by=dateFiled+desc&stat_Published=on&page=15
"Ddr Holdings, LLC v. priceline.com LLC (Fed. Cir. 2024)",23-1176,2024-12-09,Court of Appeals for the Federal Circuit,0,,0.0,https://www.courtlistener.com/opinion/10290263/ddr-holdings-llc-v-pricelinecom-llc/?q=%22Patents%22&type=o&order_by=dateFiled+desc&stat_Published=on&page=15
"Galderma Laboratories, L.P. v. Lupin Inc. (Fed. Cir. 2024)",24-1664,2024-12-06,Court of Appeals for the Federal Circuit,0,,1.0,https://www.courtlistener.com/opinion/10289425/galderma-laboratories-lp-v-lupin-inc/?q=%22Patents%22&type=o&order_by=dateFiled+desc&stat_Published=on&page=15
"Mirror Worlds Technologies, LLC v. Meta Platforms, Inc. (Fed. Cir. 2024)",22-1600,2024-12-04,Court of Appeals for the Federal Circuit,0,,0.0,https://www.courtlistener.com/opinion/10287676/mirror-worlds-technologies-llc-v-meta-platforms-inc/?q=%22Patents%22&type=o&order_by=dateFiled+desc&stat_Published=on&page=15
