case_name,docket_number,date_filed,court,payment_found,payment_amount,outcome,url
Toshiba Corp. v. Imation Corp. (W.D. Wis. 2013),No. 09-cv-305-slc,2013-12-31,,0,,unknown,https://www.courtlistener.com/opinion/8730677/toshiba-corp-v-imation-corp/?q=%22Patent+Marking%22&type=o&order_by=dateFiled+desc&stat_Published=on&page=2
"Romag Fasteners, Inc. v. Fossil, Inc. (D. Conn. 2013)",Civil Action No. 10-01827-WGY,2013-10-24,,0,,unknown,https://www.courtlistener.com/opinion/8729106/romag-fasteners-inc-v-fossil-inc/?q=%22Patent+Marking%22&type=o&order_by=dateFiled+desc&stat_Published=on&page=2
"Lutron Electronics Co. v. Crestron Electronics, Inc. (D. Utah 2013)",Case No. 2:09-CV-00707 CW,2013-09-12,,0,,unknown,https://www.courtlistener.com/opinion/8728242/lutron-electronics-co-v-crestron-electronics-inc/?q=%22Patent+Marking%22&type=o&order_by=dateFiled+desc&stat_Published=on&page=2
"Global Traffic Technologies, LLC v. Emtrac Systems, Inc. (D. Minnesota 2013)",Civil No. 10-4110 ADM/JJG,2013-05-24,,0,,unknown,https://www.courtlistener.com/opinion/8725450/global-traffic-technologies-llc-v-emtrac-systems-inc/?q=%22Patent+Marking%22&type=o&order_by=dateFiled+desc&stat_Published=on&page=2
"Power Integrations, Inc. v. Fairchild Semiconductor International, Inc. (Fed. Cir. 2013)","2011-1218, 2011-1238",2013-03-26,,0,,unknown,https://www.courtlistener.com/opinion/856228/power-integrations-inc-v-fairchild-semiconductor-international-inc/?q=%22Patent+Marking%22&type=o&order_by=dateFiled+desc&stat_Published=on&page=2
"Power Integrations, Inc. v. Fairchild Semiconductor International, Inc. (Fed. Cir. 2013)",2011-1218,2013-03-26,,0,,unknown,https://www.courtlistener.com/opinion/856284/power-integrations-inc-v-fairchild-semiconductor-i/?q=%22Patent+Marking%22&type=o&order_by=dateFiled+desc&stat_Published=on&page=2
"United States ex rel. Beauchamp v. Academi Training Center, Inc. (E.D. Va. 2013)",Case No. 1:11cv371,2013-03-21,,0,,unknown,https://www.courtlistener.com/opinion/8723865/united-states-ex-rel-beauchamp-v-academi-training-center-inc/?q=%22Patent+Marking%22&type=o&order_by=dateFiled+desc&stat_Published=on&page=2
Frolow v. Wilson Sporting Goods Co. (Fed. Cir. 2013),2012-1185,2013-03-15,,0,,unknown,https://www.courtlistener.com/opinion/855334/frolow-v-wilson-sporting-goods-co/?q=%22Patent+Marking%22&type=o&order_by=dateFiled+desc&stat_Published=on&page=2
Brooks v. Dunlop Manufacturing Inc. (Fed. Cir. 2012),2012-1164,2012-12-13,,0,,unknown,https://www.courtlistener.com/opinion/813557/brooks-v-dunlop-manufacturing-inc/?q=%22Patent+Marking%22&type=o&order_by=dateFiled+desc&stat_Published=on&page=2
Medisim Ltd. v. Bestmed LLC (S.D.N.Y. 2012),No. 10 Civ. 2463(SAS),2012-11-28,,0,,unknown,https://www.courtlistener.com/opinion/8721180/medisim-ltd-v-bestmed-llc/?q=%22Patent+Marking%22&type=o&order_by=dateFiled+desc&stat_Published=on&page=2
"Eplus, Inc. v. Lawson Software, Inc. (Fed. Cir. 2012)","2011-1396, 2011-1456, 2011-1554",2012-11-21,,0,,unknown,https://www.courtlistener.com/opinion/812346/eplus-inc-v-lawson-software-inc/?q=%22Patent+Marking%22&type=o&order_by=dateFiled+desc&stat_Published=on&page=2
Marvellous Day Electric (S.Z.) Co. v. Ace Hardware Corp. (N.D. Ill. 2012),"Nos. 11 C 8756, 11 C 8768",2012-10-02,,0,,unknown,https://www.courtlistener.com/opinion/8719863/marvellous-day-electric-sz-co-v-ace-hardware-corp/?q=%22Patent+Marking%22&type=o&order_by=dateFiled+desc&stat_Published=on&page=3
"Enzo Biochem, Inc. v. Amersham PLC (S.D.N.Y. 2012)","Nos. 02 Civ. 8448(RJS), 03 Civ. 3816(RJS), 03 Civ. 3817(RJS), 03 Civ. 3819(RJS), 03 Civ. 8907(RJS), 04 Civ. 1555(RJS), 04 Civ. 4046(RJS)",2012-09-21,,0,,unknown,https://www.courtlistener.com/opinion/8720193/enzo-biochem-inc-v-amersham-plc/?q=%22Patent+Marking%22&type=o&order_by=dateFiled+desc&stat_Published=on&page=3
"In Re Kemeta, LLC (Bankr. D. Del. 2012)",19-10529,2012-05-04,,0,,unknown,https://www.courtlistener.com/opinion/2200595/in-re-kemeta-llc/?q=%22Patent+Marking%22&type=o&order_by=dateFiled+desc&stat_Published=on&page=3
Medisim Ltd. v. Bestmed LLC (S.D.N.Y. 2012),No. 10 Civ. 2463 (SAS),2012-03-06,,0,,unknown,https://www.courtlistener.com/opinion/8715292/medisim-ltd-v-bestmed-llc/?q=%22Patent+Marking%22&type=o&order_by=dateFiled+desc&stat_Published=on&page=3
"Sukumar v. Nautilus, Inc. (W.D. Va. 2012)",Case No. 7:11-cv-00218,2012-02-10,,0,,unknown,https://www.courtlistener.com/opinion/8712990/sukumar-v-nautilus-inc/?q=%22Patent+Marking%22&type=o&order_by=dateFiled+desc&stat_Published=on&page=3
Mama Cares Foundation v. Nutriset Société Par Actions Cimplifiée (D.D.C. 2011),Civil Action No. 2009-2395,2011-11-18,,0,,unknown,https://www.courtlistener.com/opinion/2663343/mama-cares-foundation-v-nutriset-societe-par-actions-cimplifiee/?q=%22Patent+Marking%22&type=o&order_by=dateFiled+desc&stat_Published=on&page=3
"Halo Electronics, Inc. v. Pulse Engineering, Inc. (D. Nev. 2011)",3:07-cv-00331,2011-09-06,,0,,unknown,https://www.courtlistener.com/opinion/2179068/halo-electronics-inc-v-pulse-engineering-inc/?q=%22Patent+Marking%22&type=o&order_by=dateFiled+desc&stat_Published=on&page=3
Simonian v. MEADWESTVACO CORP. (N.D. Ill. 2011),10 C 01217,2011-09-01,,0,,unknown,https://www.courtlistener.com/opinion/2169866/simonian-v-meadwestvaco-corp/?q=%22Patent+Marking%22&type=o&order_by=dateFiled+desc&stat_Published=on&page=3
"Public Patent Foundation, Inc. v. Glaxosmithkline Consumer Healthcare, L.P. (S.D.N.Y. 2011)",09 Civ. 5881(RMB),2011-08-10,,0,,unknown,https://www.courtlistener.com/opinion/2170850/public-patent-foundation-inc-v-glaxosmithkline-consumer-healthcare-lp/?q=%22Patent+Marking%22&type=o&order_by=dateFiled+desc&stat_Published=on&page=3
Hollander v. RANBAXY LABORATORIES INC. (E.D. Pa. 2011),Civil Action 10-793,2011-07-18,,0,,unknown,https://www.courtlistener.com/opinion/2185662/hollander-v-ranbaxy-laboratories-inc/?q=%22Patent+Marking%22&type=o&order_by=dateFiled+desc&stat_Published=on&page=3
